-37,-26,0.25
-31,-20,0.25
-25,-14,0.25
-19,-8,0.25
-13,-2,0.25
-7,4,0.25
-1,10,0.25
5,16,0.25
11,22,0.25
17,28,0.25
11,22,0.25
5,16,0.25
-1,10,0.25
-7,4,0.25
-13,-2,0.25
-19,-8,0.25
-25,-14,0.25
-31,-20,0.25
-37,-26,0.25
-43,-32,0.25
-49,-38,0.25
-43,-38,0.25
-43,-44,0.25
-49,-50,0.25
-43,-50,0.25
-37,-50,0.25
-37,-44,0.25
-31,-44,0.25
-25,-38,0.25
-25,-32,0.25
-25,-26,0.25
-25,-20,0.25
-19,-20,0.25
-13,-14,0.25
-7,-8,0.25
-7,-2,0.25
-1,-2,0.25
5,4,0.25
11,4,0.25
17,4,0.25
23,10,0.25
29,16,0.25
23,22,0.25
17,28,0.25
17,34,0.25
11,40,0.25
5,46,0.25
5,40,0.25
5,34,0.25
11,28,0.25
17,22,0.25
23,28,0.25
29,34,0.25
35,40,0.25
41,46,0.25
47,50.0,0.25
50.0,50.0,0.25
50.0,50.0,0.25
50.0,50.0,0.25
50.0,50.0,0.25
44.0,50.0,0.25
